year,county,Region,milk_kg,milk_unit_price_kshs,milk_total_value_kshs,chevon_kg,chevon_unit_price_kshs,chevon_total_value_kshs
2021,KAKAMEGA,Non-ASAL,8700164.32,59,513309694.9,362201,480,173856480
2022,Uasin-Gishu,Non-ASAL,12323094.12,38,468277576.6,271920,600,163152000
2022,Trans Nzoia,Non-ASAL,7815128.88,46,359495928.5,118830,600,71298000
2022,West Pokot,Semi-Arid,7152956.626,70,500706963.8,2558012.25,532.5,1362141523
2022,Turkana,Arid,9145040.588,101.4285714,927568402.5,11620717.5,514.2857143,5976369000
2022,Bungoma,Non-ASAL,3944064.16,54.875,216430520.8,195729.95,486.6666667,95255242.33
2022,Busia,Non-ASAL,2200513.48,67.14285714,147748762.2,191672,550,105419600
2022,Kakamega,Non-ASAL,5798337.992,64.58333333,374475995.3,70829.3,487.5,34529283.75
2022,Vihiga,Non-ASAL,1482803.24,60,88968194.4,17220,550,9471000
2022,Kilifi,Semi-Arid,1017027.18,60,61021630.8,2590610.75,450,1165774838
2022,Mombasa,Non-ASAL,76201.8,80,6096144,120776,600,72465600
2022,Kwale,Semi-Arid,1013711.16,51.25,51952696.95,1819909,500,909954500
2022,Taita Taveta,Semi-Arid,870684.8,48,41792870.4,148785,600,89271000
2022,Homa Bay,Non-ASAL,825841.28,82.5,68131905.6,746895,537.5,401456062.5
2022,Kisumu,Non-ASAL,2022732.005,85,171932220.4,731234.625,600,438740775
2022,Migori,Non-ASAL,697347.96,62.5,43584247.5,851857.5,606.25,516438609.4
2022,Siaya,Non-ASAL,1421551.491,69.16666667,98323978.11,801373,558.3333333,447433258.3
2022,Lamu,Semi-Arid (Low),190.32,100,19032,336685,600,202011000
2022,Mandera,Arid,15329.16,166.6666667,2554860,2592000,566.6666667,1468800000
2022,Wajir,Arid,9486496.72,100,948649672,3644366,600,2186619600
2022,Garissa,Arid,39914,60,2394840,845645,600,507387000
2022,Tana River,Arid,1526987.6,76.66666667,117069049.3,331213,400,132485200
2022,Kajiado,Semi-Arid,2255776.72,90,203019904.8,3137428.5,600,1882457100
2022,Machakos,Semi-Arid (Low),1521091.84,70,106476428.8,1053612,600,632167200
2022,Makueni,Semi-Arid,888253.6,70,62177752,2524518,700,1767162600
2022,Kitui,Semi-Arid,270712.72,66.875,18103913.15,3543689,600,2126213400
2022,Kiambu,Non-ASAL,14278376.76,48,685362084.3,220658.7744,300,66197632.32
2022,Murang'a,Non-ASAL,9904785.24,46.25,458096317.4,72540,600,43524000
2022,Laikipia,Semi-Arid,1456965.2,56.66666667,82561361.33,975000,483.3333333,471250000
2022,Samburu,Arid,1084181.081,90,97576297.27,1779998.4,533.3333333,949332480
2022,Isiolo,Arid,2072224.846,96.66666667,200315068.4,2547626.76,500,1273813380
2022,Marsabit,Arid,23902.36,100,2390236,1462132,445,650648740
